Name
MOA_sum
LCOM3_sum
Ca_sum
Ce_sum
AMC_sum
DAM_sum
LCOM_sum
CAM_sum
RFC_sum
CC_sum
CC_median
AMC_mean
LCOM_mean
RFC_mean
CC_mean
AMC_std
LCOM_std
RFC_std
CC_std
CC_min
Ce_max
AMC_max
LCOM_max
RFC_max
CC_max
RFC_q1
CC_q1
AMC_q2
LCOM_q2
RFC_q2
CC_q2
